Date,Rate,High (est),Low (est)
1999-09-06,255.741,258.67,252.85
1999-09-07,255.26,258.28,252.27
1999-09-08,255.048,0.0,0.0
1999-09-09,255.005,258.12,251.93
1999-09-10,254.612,257.45,251.8
1999-09-13,253.66,256.49,250.86
1999-09-14,253.541,256.68,250.44
1999-09-15,253.801,256.93,250.71
1999-09-16,254.347,0.0,0.0
1999-09-17,255.04,0.0,0.0
1999-09-20,255.31,0.0,0.0
1999-09-21,254.939,257.99,251.92
1999-09-22,255.095,0.0,0.0
1999-09-23,255.181,0.0,0.0
1999-09-24,255.674,0.0,0.0
1999-09-27,255.674,258.69,252.69
1999-09-28,255.742,0.0,0.0
1999-09-29,255.568,258.54,252.63
1999-09-30,256.731,0.0,0.0
1999-10-01,258.375,0.0,0.0
1999-10-04,258.424,261.55,255.33
1999-10-05,257.866,260.84,254.92
1999-10-06,257.875,0.0,0.0
1999-10-07,257.875,0.0,0.0
1999-10-08,257.172,0.0,0.0
1999-10-11,256.833,0.0,0.0
1999-10-12,257.384,0.0,0.0
1999-10-13,259.265,0.0,0.0
1999-10-14,258.905,0.0,0.0
1999-10-15,258.806,262.02,255.63
1999-10-18,258.871,261.78,256.0
1999-10-19,258.057,261.25,254.9
1999-10-20,257.75,260.74,254.79
1999-10-21,257.855,260.71,255.03
1999-10-22,257.659,0.0,0.0
1999-10-25,257.318,260.34,254.33
1999-10-26,256.833,259.82,253.89
1999-10-27,256.161,0.0,0.0
1999-10-28,255.76,258.75,252.81
1999-10-29,256.298,259.14,253.49
1999-11-01,256.089,259.1,253.11
1999-11-02,255.704,258.89,252.56
1999-11-03,255.704,0.0,0.0
1999-11-04,255.341,258.29,252.43
1999-11-05,255.341,0.0,0.0
1999-11-08,255.418,258.38,252.49
1999-11-09,255.045,257.87,252.25
1999-11-10,255.15,258.03,252.3
1999-11-11,255.196,258.02,252.41
1999-11-12,254.88,0.0,0.0
1999-11-15,254.886,0.0,0.0
1999-11-16,255.314,258.22,252.44
1999-11-17,255.454,258.45,252.49
1999-11-18,255.068,0.0,0.0
1999-11-19,254.789,257.84,251.77
1999-11-22,254.933,257.89,252.01
1999-11-23,254.664,257.66,251.71
1999-11-24,254.341,257.32,251.4
1999-11-25,253.946,256.99,250.94
1999-11-26,253.96,257.13,250.83
1999-11-29,253.253,0.0,0.0
1999-11-30,252.837,255.67,250.04
1999-12-01,252.382,0.0,0.0
1999-12-02,251.371,0.0,0.0
1999-12-03,251.061,0.0,0.0
1999-12-06,253.242,256.41,250.12
1999-12-07,254.432,257.53,251.37
1999-12-08,254.597,0.0,0.0
1999-12-09,254.44,257.53,251.39
1999-12-10,254.268,257.14,251.43
1999-12-13,253.924,256.83,251.05
1999-12-14,253.603,0.0,0.0
1999-12-15,254.19,257.23,251.19
1999-12-16,255.764,258.73,252.83
1999-12-17,254.923,258.02,251.87
1999-12-20,254.222,0.0,0.0
1999-12-21,254.288,0.0,0.0
1999-12-22,254.341,257.5,251.23
1999-12-23,254.615,257.55,251.72
1999-12-24,254.78,257.69,251.9
1999-12-27,254.687,257.51,251.89
1999-12-28,254.526,257.41,251.67
1999-12-29,254.558,257.5,251.65
1999-12-30,254.558,0.0,0.0
1999-12-31,254.463,257.27,251.68
2000-01-03,254.463,0.0,0.0
2000-01-04,254.612,0.0,0.0
2000-01-05,254.586,257.6,251.61
2000-01-06,254.469,0.0,0.0
2000-01-07,254.569,257.57,251.6
2000-01-10,254.69,257.52,251.89
2000-01-11,254.685,257.67,251.73
2000-01-12,254.647,257.65,251.68
2000-01-13,254.766,0.0,0.0
2000-01-14,254.87,257.85,251.92
2000-01-17,254.898,0.0,0.0
2000-01-18,254.902,0.0,0.0
2000-01-19,254.976,258.04,251.95
2000-01-20,255.065,258.07,252.09
2000-01-21,255.175,258.07,252.31
2000-01-24,255.159,258.18,252.17
2000-01-25,255.146,258.11,252.22
2000-01-26,255.171,0.0,0.0
2000-01-27,255.212,258.05,252.41
2000-01-28,255.303,258.3,252.34
2000-01-31,255.352,258.29,252.45
2000-02-01,255.392,0.0,0.0
2000-02-02,255.41,258.56,252.3
2000-02-03,255.454,0.0,0.0
2000-02-04,255.522,258.58,252.5
2000-02-07,255.554,0.0,0.0
2000-02-08,255.571,258.68,252.5
2000-02-09,256.653,0.0,0.0
2000-02-10,256.295,259.46,253.17
2000-02-11,255.996,259.02,253.01
2000-02-14,255.913,258.97,252.9
2000-02-15,255.811,0.0,0.0
2000-02-16,255.841,0.0,0.0
2000-02-17,255.825,259.0,252.69
2000-02-18,256.09,259.01,253.2
2000-02-21,256.676,259.62,253.77
2000-02-22,257.489,260.36,254.65
2000-02-23,257.292,0.0,0.0
2000-02-24,256.796,0.0,0.0
2000-02-25,256.73,259.8,253.7
2000-02-28,256.747,0.0,0.0
2000-02-29,256.735,259.74,253.77
2000-03-01,256.469,259.59,253.38
2000-03-02,256.394,0.0,0.0
2000-03-03,256.231,259.11,253.38
2000-03-06,256.4,259.41,253.42
2000-03-07,256.508,0.0,0.0
2000-03-08,256.778,259.79,253.8
2000-03-09,256.862,0.0,0.0
2000-03-10,256.96,259.92,254.03
2000-03-13,257.098,0.0,0.0
2000-03-14,257.36,260.34,254.41
2000-03-15,257.584,0.0,0.0
2000-03-16,257.093,260.0,254.22
2000-03-17,256.842,0.0,0.0
2000-03-20,256.993,259.96,254.06
2000-03-21,257.05,260.13,254.0
2000-03-22,257.024,260.16,253.93
2000-03-23,257.138,0.0,0.0
2000-03-24,258.167,0.0,0.0
2000-03-27,257.788,260.79,254.82
2000-03-28,257.384,260.59,254.21
2000-03-29,257.693,0.0,0.0
2000-03-30,257.992,0.0,0.0
2000-03-31,258.362,261.35,255.41
2000-04-03,258.427,261.6,255.29
2000-04-04,258.383,0.0,0.0
2000-04-05,258.882,262.02,255.78
2000-04-06,258.69,261.69,255.73
2000-04-07,258.835,0.0,0.0
2000-04-10,258.553,261.47,255.67
2000-04-11,258.301,261.44,255.2
2000-04-12,258.246,261.45,255.08
2000-04-13,258.01,261.22,254.84
2000-04-14,258.005,260.9,255.14
2000-04-17,258.521,0.0,0.0
2000-04-18,258.771,261.77,255.81
2000-04-19,258.662,261.63,255.73
2000-04-20,258.254,261.13,255.41
2000-04-21,257.892,260.95,254.87
2000-04-24,258.016,260.96,255.11
2000-04-25,258.173,261.23,255.16
2000-04-26,258.106,261.09,255.15
2000-04-27,258.329,261.29,255.41
2000-04-28,258.425,261.36,255.53
2000-05-01,258.337,261.19,255.52
2000-05-02,258.375,0.0,0.0
2000-05-03,258.325,0.0,0.0
2000-05-04,258.318,0.0,0.0
2000-05-05,258.339,0.0,0.0
2000-05-08,258.318,261.41,255.26
2000-05-09,258.38,0.0,0.0
